Datasource,Campaign,Daily,Clicks,Impressions
Google Ads,Adventmarkt Touristik,11/12/19,7,22425
Google Ads,Adventmarkt Touristik,11/13/19,16,45452
Google Ads,Adventmarkt Touristik,11/14/19,147,80351
Google Ads,Adventmarkt Touristik,11/15/19,131,81906
Google Ads,Adventmarkt Touristik,11/16/19,85,43910
Google Ads,Adventmarkt Touristik,11/17/19,107,36361
Google Ads,Adventmarkt Touristik,11/18/19,93,56982
Google Ads,Adventmarkt Touristik,11/19/19,120,23424
Google Ads,Adventmarkt Touristik,11/20/19,161,27841
Google Ads,Adventmarkt Touristik,11/21/19,256,44322
Google Ads,Adventmarkt Touristik,11/22/19,140,39414
Google Ads,Adventmarkt Touristik,11/23/19,123,37374
Google Ads,Adventmarkt Touristik,11/24/19,111,33158
Google Ads,Adventmarkt Touristik,11/25/19,102,28528
Google Ads,Adventmarkt Touristik,11/26/19,145,29114
Google Ads,Adventmarkt Touristik,11/27/19,182,32518
Google Ads,Adventmarkt Touristik,11/28/19,185,30767
Google Ads,Adventmarkt Touristik,11/29/19,80,33036
Google Ads,Adventmarkt Touristik,11/30/19,75,23558
Google Ads,Adventmarkt Touristik,12/01/19,76,25436
Google Ads,Adventmarkt Touristik,12/02/19,82,26557
Google Ads,Adventmarkt Touristik,12/03/19,110,26327
Google Ads,Adventmarkt Touristik,12/04/19,180,29416
Google Ads,Adventmarkt Touristik,12/05/19,253,53365
Google Ads,Adventmarkt Touristik,12/06/19,96,37034
Google Ads,Adventmarkt Touristik,12/07/19,130,38373
Google Ads,Adventmarkt Touristik,12/08/19,256,59663
Google Ads,Adventmarkt Touristik,12/09/19,111,47990
Google Ads,Adventmarkt Touristik,12/10/19,130,54400
Google Ads,Adventmarkt Touristik,12/11/19,195,48059
Google Ads,Adventmarkt Touristik,12/12/19,188,40666
Google Ads,Adventmarkt Touristik,12/13/19,46,28322
Google Ads,Adventmarkt Touristik,12/14/19,38,29950
Google Ads,Adventmarkt Touristik,12/15/19,40,35563
Google Ads,Adventmarkt Touristik,12/16/19,53,41855
Google Ads,Adventmarkt Touristik,12/17/19,108,53673
Google Ads,Adventmarkt Touristik,12/18/19,229,53497
Google Ads,Adventmarkt Touristik,12/19/19,155,60063
Google Ads,Adventmarkt Touristik,12/20/19,22,52496
Google Ads,Adventmarkt Touristik,12/21/19,7,14508
Google Ads,Adventmarkt Touristik,12/22/19,10,14402
Google Ads,Adventmarkt Touristik,12/23/19,7,11646
Google Ads,Adventmarkt Touristik,12/24/19,5,7705
Google Ads,Firmen Mitgliedschaft,02/12/19,0,4
Google Ads,GDN_Retargeting,01/01/19,32,17079
Google Ads,GDN_Retargeting,01/02/19,24,22139
Google Ads,GDN_Retargeting,01/03/19,21,21947
Google Ads,GDN_Retargeting,01/04/19,20,19386
Google Ads,GDN_Retargeting,01/05/19,27,18255
Google Ads,GDN_Retargeting,01/06/19,27,21305
Google Ads,GDN_Retargeting,01/07/19,26,36126
Google Ads,GDN_Retargeting,01/08/19,37,35228
Google Ads,GDN_Retargeting,01/09/19,42,35821
Google Ads,GDN_Retargeting,01/10/19,30,35510
Google Ads,GDN_Retargeting,01/11/19,42,34674
Google Ads,GDN_Retargeting,01/12/19,45,33608
Google Ads,GDN_Retargeting,01/13/19,54,34110
Google Ads,GDN_Retargeting,01/14/19,52,38612
Google Ads,GDN_Retargeting,01/15/19,34,28394
Google Ads,GDN_Retargeting,01/16/19,26,21059
Google Ads,GDN_Retargeting,01/17/19,31,26497
Google Ads,GDN_Retargeting,01/18/19,32,37481
Google Ads,GDN_Retargeting,01/19/19,29,18064
Google Ads,GDN_Retargeting,01/20/19,33,29954
Google Ads,GDN_Retargeting,01/21/19,34,24621
Google Ads,GDN_Retargeting,01/22/19,31,31546
Google Ads,GDN_Retargeting,01/23/19,28,27512
Google Ads,GDN_Retargeting,01/24/19,44,31148
Google Ads,GDN_Retargeting,01/25/19,38,34793
Google Ads,GDN_Retargeting,01/26/19,45,41849
Google Ads,GDN_Retargeting,01/27/19,42,45717
Google Ads,GDN_Retargeting,01/28/19,45,47559
Google Ads,GDN_Retargeting,01/29/19,35,29992
Google Ads,GDN_Retargeting,01/30/19,39,30375
Google Ads,GDN_Retargeting,01/31/19,30,18275
Google Ads,GDN_Retargeting,02/01/19,52,45482
Google Ads,GDN_Retargeting,02/02/19,39,27547
Google Ads,GDN_Retargeting,02/03/19,45,38017
Google Ads,GDN_Retargeting,02/04/19,47,31118
Google Ads,GDN_Retargeting,02/05/19,53,46026
Google Ads,GDN_Retargeting,02/06/19,36,38550
Google Ads,GDN_Retargeting,02/07/19,37,29769
Google Ads,GDN_Retargeting,02/08/19,27,28099
Google Ads,GDN_Retargeting,02/09/19,31,25140
Google Ads,GDN_Retargeting,02/10/19,42,28123
Google Ads,GDN_Retargeting,02/11/19,51,47923
Google Ads,GDN_Retargeting,02/12/19,47,46305
Google Ads,GDN_Retargeting,02/13/19,47,39717
Google Ads,GDN_Retargeting,02/14/19,43,47071
Google Ads,GDN_Retargeting,02/15/19,44,46100
Google Ads,GDN_Retargeting,02/16/19,42,41801
Google Ads,GDN_Retargeting,02/17/19,49,39322
Google Ads,GDN_Retargeting,02/18/19,51,42210
Google Ads,GDN_Retargeting,02/19/19,59,44564
Google Ads,GDN_Retargeting,02/20/19,60,54564
Google Ads,GDN_Retargeting,02/21/19,54,46843
Google Ads,GDN_Retargeting,02/22/19,52,47625
Google Ads,GDN_Retargeting,02/23/19,55,44152
Google Ads,GDN_Retargeting,02/24/19,55,49994
Google Ads,GDN_Retargeting,02/25/19,54,53190
Google Ads,GDN_Retargeting,02/26/19,52,51057
Google Ads,GDN_Retargeting,02/27/19,62,48015
Google Ads,GDN_Retargeting,02/28/19,57,41674
Google Ads,GDN_Retargeting,03/01/19,47,39388
Google Ads,GDN_Retargeting,03/02/19,50,35010
Google Ads,GDN_Retargeting,03/03/19,48,47079
Google Ads,GDN_Retargeting,03/04/19,42,47556
Google Ads,GDN_Retargeting,03/05/19,50,44765
Google Ads,GDN_Retargeting,03/06/19,60,52822
Google Ads,GDN_Retargeting,03/07/19,46,31655
Google Ads,GDN_Retargeting,03/08/19,35,41312
Google Ads,GDN_Retargeting,03/09/19,42,34906
Google Ads,GDN_Retargeting,03/10/19,52,36168
Google Ads,GDN_Retargeting,03/11/19,59,46469
Google Ads,GDN_Retargeting,03/12/19,47,32389
Google Ads,GDN_Retargeting,03/13/19,47,41572
Google Ads,GDN_Retargeting,03/14/19,52,35284
Google Ads,GDN_Retargeting,03/15/19,43,36340
Google Ads,GDN_Retargeting,03/16/19,49,45959
Google Ads,GDN_Retargeting,03/17/19,45,35480
Google Ads,GDN_Retargeting,03/18/19,48,36922
Google Ads,GDN_Retargeting,03/19/19,54,52454
Google Ads,GDN_Retargeting,03/20/19,52,42515
Google Ads,GDN_Retargeting,03/21/19,44,35962
Google Ads,GDN_Retargeting,03/22/19,51,47119
Google Ads,GDN_Retargeting,03/23/19,43,28574
Google Ads,GDN_Retargeting,03/24/19,45,39272
Google Ads,GDN_Retargeting,03/25/19,54,37618
Google Ads,GDN_Retargeting,03/26/19,46,31667
Google Ads,GDN_Retargeting,03/27/19,50,46380
Google Ads,GDN_Retargeting,03/28/19,46,40077
Google Ads,GDN_Retargeting,03/29/19,45,32975
Google Ads,GDN_Retargeting,03/30/19,37,44534
Google Ads,GDN_Retargeting,03/31/19,37,21712
Google Ads,GDN_Retargeting,04/01/19,57,42177
Google Ads,GDN_Retargeting,04/02/19,49,40407
Google Ads,GDN_Retargeting,04/03/19,48,35879
Google Ads,GDN_Retargeting,04/04/19,47,55274
Google Ads,GDN_Retargeting,04/05/19,44,38273
Google Ads,GDN_Retargeting,04/06/19,54,44577
Google Ads,GDN_Retargeting,04/07/19,48,29501
Google Ads,GDN_Retargeting,04/08/19,53,47413
Google Ads,GDN_Retargeting,04/09/19,51,48432
Google Ads,GDN_Retargeting,04/10/19,57,44827
Google Ads,GDN_Retargeting,04/11/19,47,49516
Google Ads,GDN_Retargeting,04/12/19,50,45865
Google Ads,GDN_Retargeting,04/13/19,49,39489
Google Ads,GDN_Retargeting,04/14/19,44,37105
Google Ads,GDN_Retargeting,04/15/19,44,29526
Google Ads,GDN_Retargeting,04/16/19,47,39552
Google Ads,GDN_Retargeting,04/17/19,48,38104
Google Ads,GDN_Retargeting,04/18/19,40,43877
Google Ads,GDN_Retargeting,04/19/19,50,41981
Google Ads,GDN_Retargeting,04/20/19,38,27102
Google Ads,GDN_Retargeting,04/21/19,48,34482
Google Ads,GDN_Retargeting,04/22/19,48,36554
Google Ads,GDN_Retargeting,04/23/19,45,33463
Google Ads,GDN_Retargeting,04/24/19,44,44159
Google Ads,GDN_Retargeting,04/25/19,44,38772
Google Ads,GDN_Retargeting,04/26/19,40,35618
Google Ads,GDN_Retargeting,04/27/19,50,35021
Google Ads,GDN_Retargeting,04/28/19,52,42432
Google Ads,GDN_Retargeting,04/29/19,53,43993
Google Ads,GDN_Retargeting,04/30/19,52,39181
Google Ads,GDN_Retargeting,05/01/19,54,38587
Google Ads,GDN_Retargeting,05/02/19,48,38749
Google Ads,GDN_Retargeting,05/03/19,49,36853
Google Ads,GDN_Retargeting,05/04/19,49,37430
Google Ads,GDN_Retargeting,05/05/19,46,33811
Google Ads,GDN_Retargeting,05/06/19,42,37507
Google Ads,GDN_Retargeting,05/07/19,46,36411
Google Ads,GDN_Retargeting,05/08/19,26,26442
Google Ads,GDN_Retargeting,05/14/19,42,40215
Google Ads,GDN_Retargeting,05/15/19,63,51956
Google Ads,GDN_Retargeting,05/16/19,63,37118
Google Ads,GDN_Retargeting,05/17/19,70,54163
Google Ads,GDN_Retargeting,05/18/19,73,56662
Google Ads,GDN_Retargeting,05/19/19,76,60988
Google Ads,GDN_Retargeting,05/20/19,73,52423
Google Ads,GDN_Retargeting,05/21/19,65,61300
Google Ads,GDN_Retargeting,05/22/19,64,51784
Google Ads,GDN_Retargeting,05/23/19,71,57353
Google Ads,GDN_Retargeting,05/24/19,66,62654
Google Ads,GDN_Retargeting,05/25/19,71,57128
Google Ads,GDN_Retargeting,05/26/19,70,49295
Google Ads,GDN_Retargeting,05/27/19,67,48764
Google Ads,GDN_Retargeting,05/28/19,68,41638
Google Ads,GDN_Retargeting,05/29/19,70,51390
Google Ads,GDN_Retargeting,05/30/19,64,54441
Google Ads,GDN_Retargeting,05/31/19,74,47072
